text,label
Drinking a common kitchen spice every morning will make you live to 86 years old.,FAKE
This banned lemon juice remedy cures hair loss that doctors refuse to prescribe.,FAKE
The transport department in New York introduced new bus routes to ease congestion.,REAL
Government of Brazil is secretly using hidden machines to control the weather.,FAKE
Government of Australia is secretly using hidden machines to control the weather.,FAKE
Scientists confirm acne can be cured instantly by staring at the sun for 5 minutes.,FAKE
the Department of Transport announced a new policy to improve public services in Sao Paulo.,REAL
The central bank of India kept interest rates unchanged this quarter.,REAL
Officials confirmed that the bridge project in Sydney is on schedule for completion next year.,REAL
The national cricket board announced the schedule for the upcoming football season.,REAL
"a regional bank reported its quarterly earnings today, showing steady growth.",REAL
a famous cricketer reveals they are actually an alien sent to observe Germany.,FAKE
the United Kingdom signed a trade agreement aimed at boosting exports this year.,REAL
Drinking ordinary tea leaves every morning will make you live to 100 years old.,FAKE
"Unemployment in France fell slightly last month, labour ministry data shows.",REAL
The local team won the basketball match after a closely fought contest in Sydney.,REAL
Secret documents reveal the United Kingdom government is hiding evidence of time travel.,FAKE
Government of Kenya is secretly using hidden machines to control the weather.,FAKE
The local team won the cricket match after a closely fought contest in New York.,REAL
The national cricket board announced the schedule for the upcoming badminton season.,REAL
Shocking video proves the moon landing in India was completely fake.,FAKE
Share this before it gets deleted: a fruit peel instantly detoxifies your entire body!,FAKE
Aliens were spotted landing near Berlin and the government is hiding the truth.,FAKE
Secret documents reveal South Africa government is hiding evidence of time travel.,FAKE
A report by Stanford University researchers highlights steady progress in reducing hair loss cases.,REAL
a famous cricketer reveals they are actually an alien sent to observe Kenya.,FAKE
"Kenya's economy grew by 2 percent last quarter, according to official data.",REAL
Researchers at University of Tokyo published a study on high blood pressure treatment in The Lancet.,REAL
Government of the United States is secretly using hidden machines to control the weather.,FAKE
a major automobile manufacturer announced plans to open a new manufacturing plant near Delhi.,REAL
Experts warn that 5G towers in Toronto are turning water into poison overnight.,FAKE
This banned ordinary tea leaves remedy cures high blood pressure that doctors refuse to prescribe.,FAKE
"A grandmother's forgotten tap water remedy is curing insomnia overnight, doctors baffled.",FAKE
"South Africa's economy grew by 13 percent last quarter, according to official data.",REAL
Officials confirmed that the bridge project in New York is on schedule for completion next year.,REAL
Drinking a fruit peel every morning will make you live to 191 years old.,FAKE
"A grandmother's forgotten a household plant remedy is curing obesity overnight, doctors baffled.",FAKE
"a fruit peel can completely cure high blood pressure in just three days, scientists are stunned.",FAKE
Tokyo residents report seeing ghosts controlling the traffic lights at night.,FAKE
A new study from Stanford University found that regular exercise improves sleep quality.,REAL
"A grandmother's forgotten a common kitchen spice remedy is curing the common cold overnight, doctors baffled.",FAKE
Delhi residents report seeing ghosts controlling the traffic lights at night.,FAKE
Doctors don't want you to know this one trick that cures the common cold overnight!,FAKE
the Ministry of Education released updated guidelines for the common cold prevention this week.,REAL
This banned tap water remedy cures hair loss that doctors refuse to prescribe.,FAKE
A report by MIT researchers highlights steady progress in reducing acne cases.,REAL
Election officials in Germany confirmed voter turnout figures for the recent polls.,REAL
A report by the University of Toronto researchers highlights steady progress in reducing high blood pressure cases.,REAL
Astronomers at Oxford University discovered a new comet using a ground-based telescope.,REAL
Experts warn that 5G towers in Delhi are turning water into poison overnight.,FAKE
"Canada's economy grew by 7 percent last quarter, according to official data.",REAL
The national cricket board announced the schedule for the upcoming tennis season.,REAL
a famous cricketer reveals they are actually an alien sent to observe Brazil.,FAKE
Toronto residents report seeing ghosts controlling the traffic lights at night.,FAKE
"A grandmother's forgotten a fruit peel remedy is curing diabetes overnight, doctors baffled.",FAKE
Health officials in Mumbai recommended flu vaccinations ahead of the winter season.,REAL
"Unemployment in South Africa fell slightly last month, labour ministry data shows.",REAL
A new study from the University of Toronto found that regular exercise improves sleep quality.,REAL
Astronomers at University of Tokyo discovered a new comet using a ground-based telescope.,REAL
Share this before it gets deleted: tap water instantly detoxifies your entire body!,FAKE
Drinking a household plant every morning will make you live to 51 years old.,FAKE
a popular film actor reveals they are actually an alien sent to observe Germany.,FAKE
a popular film actor reveals they are actually an alien sent to observe South Africa.,FAKE
Secret documents reveal Japan government is hiding evidence of time travel.,FAKE
Farmers in Berlin reported an improved harvest this season due to favourable rainfall.,REAL
The local team won the hockey match after a closely fought contest in Mumbai.,REAL
Australia will host an international conference on renewable energy next year.,REAL
This banned a fruit peel remedy cures the common cold that doctors refuse to prescribe.,FAKE
a well-known singer reveals they are actually an alien sent to observe Japan.,FAKE
"This one weird trick cures diabetes permanently, big pharma hates it!",FAKE
Astronomers at Harvard University discovered a new comet using a ground-based telescope.,REAL
"baking soda can completely cure obesity in just three days, scientists are stunned.",FAKE
Experts warn that 5G towers in Tokyo are turning water into poison overnight.,FAKE
Health officials in Paris recommended flu vaccinations ahead of the winter season.,REAL
A report by Stanford University researchers highlights steady progress in reducing insomnia cases.,REAL
the Finance Ministry announced a new policy to improve public services in Sydney.,REAL
This banned tap water remedy cures the common cold that doctors refuse to prescribe.,FAKE
Health officials in Cape Town recommended flu vaccinations ahead of the winter season.,REAL
A report by IIT Delhi researchers highlights steady progress in reducing high blood pressure cases.,REAL
"A grandmother's forgotten a fruit peel remedy is curing insomnia overnight, doctors baffled.",FAKE
South Africa will host an international conference on renewable energy next year.,REAL
"Miracle a household plant discovered to reverse aging completely, must share before it's banned!",FAKE
Researchers at Oxford University published a study on hair loss treatment in the Journal of Applied Physics.,REAL
A report by Oxford University researchers highlights steady progress in reducing diabetes cases.,REAL
"A grandmother's forgotten baking soda remedy is curing back pain overnight, doctors baffled.",FAKE
Officials confirmed that the bridge project in Toronto is on schedule for completion next year.,REAL
Officials in Kenya confirm bottled water is being replaced with mind control serum.,FAKE
Aliens were spotted landing near New York and the government is hiding the truth.,FAKE
Drinking tap water every morning will make you live to 65 years old.,FAKE
the local municipal council released updated guidelines for acne prevention this week.,REAL
A report by University of Cambridge researchers highlights steady progress in reducing diabetes cases.,REAL
A new study from University of Cambridge found that regular exercise improves sleep quality.,REAL
Experts warn that 5G towers in London are turning water into poison overnight.,FAKE
"Brazil's economy grew by 5 percent last quarter, according to official data.",REAL
a large retail chain announced plans to open a new manufacturing plant near Mumbai.,REAL
Drinking lemon juice every morning will make you live to 135 years old.,FAKE
This banned a fruit peel remedy cures diabetes that doctors refuse to prescribe.,FAKE
Doctors don't want you to know this one trick that cures back pain overnight!,FAKE
This banned a common kitchen spice remedy cures arthritis that doctors refuse to prescribe.,FAKE
The local team won the badminton match after a closely fought contest in Berlin.,REAL
Drinking a fruit peel every morning will make you live to 163 years old.,FAKE
"a household plant can completely cure the common cold in just three days, scientists are stunned.",FAKE
"Government hiding cure for high blood pressure to keep hospitals in business, whistleblower claims.",FAKE
Astronomers at Stanford University discovered a new comet using a ground-based telescope.,REAL
the local municipal council confirmed that road repair work will begin in Mumbai next month.,REAL
Engineers at MIT unveiled a prototype for more efficient solar panels.,REAL
This banned a common kitchen spice remedy cures insomnia that doctors refuse to prescribe.,FAKE
Researchers at MIT published a study on arthritis treatment in Nature.,REAL
Election officials in India confirmed voter turnout figures for the recent polls.,REAL
"coconut oil can completely cure the common cold in just three days, scientists are stunned.",FAKE
"Unemployment in the United Kingdom fell slightly last month, labour ministry data shows.",REAL
"A grandmother's forgotten ordinary tea leaves remedy is curing arthritis overnight, doctors baffled.",FAKE
a large retail chain announced plans to open a new manufacturing plant near Paris.,REAL
"tap water can completely cure insomnia in just three days, scientists are stunned.",FAKE
the local municipal council confirmed that road repair work will begin in Toronto next month.,REAL
Officials in the United States confirm bottled water is being replaced with mind control serum.,FAKE
New study 'proves' that the earth is actually shrinking every single year.,FAKE
Share this before it gets deleted: baking soda instantly detoxifies your entire body!,FAKE
This banned a fruit peel remedy cures back pain that doctors refuse to prescribe.,FAKE
The transport department in Sao Paulo introduced new bus routes to ease congestion.,REAL
A report by Harvard University researchers highlights steady progress in reducing the common cold cases.,REAL
"India's economy grew by 5 percent last quarter, according to official data.",REAL
a prominent politician reveals they are actually an alien sent to observe Kenya.,FAKE
The city council in Mumbai approved funding for a new public library.,REAL
the Department of Transport confirmed that road repair work will begin in New York next month.,REAL
the local municipal council announced a new policy to improve public services in Sydney.,REAL
Drinking tap water every morning will make you live to 37 years old.,FAKE
a major automobile manufacturer announced plans to open a new manufacturing plant near Mumbai.,REAL
"Australia's economy grew by 17 percent last quarter, according to official data.",REAL
the Ministry of Health announced a new policy to improve public services in London.,REAL
Drinking baking soda every morning will make you live to 107 years old.,FAKE
the local municipal council released updated guidelines for high blood pressure prevention this week.,REAL
Leaked report claims a large retail chain is secretly implanting microchips in every product.,FAKE
Doctors don't want you to know this one trick that cures hair loss overnight!,FAKE
A team of doctors at the University of Toronto hospital successfully completed a rare surgery.,REAL
the Ministry of Education announced a new policy to improve public services in London.,REAL
A new study from University of Tokyo found that regular exercise improves sleep quality.,REAL
Video 'proof' shows a famous cricketer is secretly a robot built by a tech company.,FAKE
"Secret society in Berlin is controlling world governments, anonymous source claims.",FAKE
Researchers at University of Cambridge published a study on insomnia treatment in Cell.,REAL
Share this before it gets deleted: a common kitchen spice instantly detoxifies your entire body!,FAKE
Researchers at MIT published a study on back pain treatment in Cell.,REAL
Farmers in Cape Town reported an improved harvest this season due to favourable rainfall.,REAL
Researchers at Oxford University published a study on acne treatment in Cell.,REAL
"Government hiding cure for arthritis to keep hospitals in business, whistleblower claims.",FAKE
"a household plant can completely cure arthritis in just three days, scientists are stunned.",FAKE
"the United Kingdom's economy grew by 11 percent last quarter, according to official data.",REAL
a national airline announced plans to open a new manufacturing plant near Sao Paulo.,REAL
"This ordinary tea leaves trick will make you lose 10 kilos in a week, no diet needed!",FAKE
"a national airline reported its quarterly earnings today, showing steady growth.",REAL
Drinking lemon juice every morning will make you live to 191 years old.,FAKE
Drinking baking soda every morning will make you live to 79 years old.,FAKE
Drinking coconut oil every morning will make you live to 156 years old.,FAKE
Health officials in Tokyo recommended flu vaccinations ahead of the winter season.,REAL
a leading tech firm announced plans to open a new manufacturing plant near London.,REAL
"a common kitchen spice can completely cure back pain in just three days, scientists are stunned.",FAKE
Shocking video proves the moon landing in Australia was completely fake.,FAKE
The city council in New York approved funding for a new public library.,REAL
the Ministry of Health announced a new policy to improve public services in Berlin.,REAL
"a common kitchen spice can completely cure hair loss in just three days, scientists are stunned.",FAKE
A new study from Oxford University found that regular exercise improves sleep quality.,REAL
This banned tap water remedy cures acne that doctors refuse to prescribe.,FAKE
the Finance Ministry announced a new policy to improve public services in Mumbai.,REAL
Experts warn that 5G towers in Sydney are turning water into poison overnight.,FAKE
Local authorities in Delhi opened a new public park after months of construction.,REAL
the Finance Ministry confirmed that road repair work will begin in Sydney next month.,REAL
the Ministry of Education confirmed that road repair work will begin in Sydney next month.,REAL
Drinking tap water every morning will make you live to 2 years old.,FAKE
Government of Japan is secretly using hidden machines to control the weather.,FAKE
You won't believe what a top business leader did that doctors are trying to cover up.,FAKE
Local authorities in Sydney opened a new public park after months of construction.,REAL
Officials confirmed that the bridge project in Delhi is on schedule for completion next year.,REAL
The local team won the cricket match after a closely fought contest in Cape Town.,REAL
Share this before it gets deleted: a household plant instantly detoxifies your entire body!,FAKE
"A grandmother's forgotten baking soda remedy is curing acne overnight, doctors baffled.",FAKE
Drinking coconut oil every morning will make you live to 107 years old.,FAKE
Government of Germany is secretly using hidden machines to control the weather.,FAKE
Brazil will host an international conference on renewable energy next year.,REAL
"a fruit peel can completely cure the common cold in just three days, scientists are stunned.",FAKE
A peer-reviewed clinical trial confirmed a new treatment for high blood pressure is safe and effective.,REAL
A new study from MIT found that regular exercise improves sleep quality.,REAL
a well-known singer reveals they are actually an alien sent to observe Canada.,FAKE
The national cricket board announced the schedule for the upcoming cricket season.,REAL
Researchers at Harvard University published a study on high blood pressure treatment in the Journal of Applied Physics.,REAL
"A grandmother's forgotten a common kitchen spice remedy is curing diabetes overnight, doctors baffled.",FAKE
the local municipal council released updated guidelines for back pain prevention this week.,REAL
a famous cricketer reveals they are actually an alien sent to observe Mexico.,FAKE
"Canada's economy grew by 8 percent last quarter, according to official data.",REAL
a top business leader reveals they are actually an alien sent to observe Mexico.,FAKE
"a leading tech firm reported its quarterly earnings today, showing steady growth.",REAL
"Mexico's economy grew by 15 percent last quarter, according to official data.",REAL
"Secret society in Toronto is controlling world governments, anonymous source claims.",FAKE
the state government announced a new policy to improve public services in London.,REAL
"A grandmother's forgotten a household plant remedy is curing acne overnight, doctors baffled.",FAKE
"BREAKING: a famous cricketer secretly controls the world's banks, insider reveals.",FAKE
The central bank of Australia kept interest rates unchanged this quarter.,REAL
the local municipal council released updated guidelines for insomnia prevention this week.,REAL
Nairobi residents report seeing ghosts controlling the traffic lights at night.,FAKE
Election officials in France confirmed voter turnout figures for the recent polls.,REAL
"A grandmother's forgotten lemon juice remedy is curing diabetes overnight, doctors baffled.",FAKE
the local municipal council confirmed that road repair work will begin in Berlin next month.,REAL
The local team won the tennis match after a closely fought contest in Toronto.,REAL
This banned ordinary tea leaves remedy cures acne that doctors refuse to prescribe.,FAKE
"France's economy grew by 19 percent last quarter, according to official data.",REAL
London residents report seeing ghosts controlling the traffic lights at night.,FAKE
the Ministry of Health confirmed that road repair work will begin in New York next month.,REAL
the Finance Ministry confirmed that road repair work will begin in Cape Town next month.,REAL
the Department of Transport confirmed that road repair work will begin in Delhi next month.,REAL
Drinking baking soda every morning will make you live to 58 years old.,FAKE
Experts warn that 5G towers in New York are turning water into poison overnight.,FAKE
a prominent politician reveals they are actually an alien sent to observe Germany.,FAKE
Researchers at Stanford University published a study on back pain treatment in Science.,REAL
Shocking video proves the moon landing in France was completely fake.,FAKE
Drinking a fruit peel every morning will make you live to 198 years old.,FAKE
A new study from Harvard University found that regular exercise improves sleep quality.,REAL
a well-known singer reveals they are actually an alien sent to observe France.,FAKE
The local team won the basketball match after a closely fought contest in New York.,REAL
Local authorities in Nairobi opened a new public park after months of construction.,REAL
Officials in Canada confirm bottled water is being replaced with mind control serum.,FAKE
"This a common kitchen spice trick will make you lose 10 kilos in a week, no diet needed!",FAKE
The transport department in Toronto introduced new bus routes to ease congestion.,REAL
Government of the United Kingdom is secretly using hidden machines to control the weather.,FAKE
Drinking a common kitchen spice every morning will make you live to 72 years old.,FAKE
Scientists confirm back pain can be cured instantly by staring at the sun for 5 minutes.,FAKE
"tap water can completely cure diabetes in just three days, scientists are stunned.",FAKE
Local authorities in Paris opened a new public park after months of construction.,REAL
The local team won the basketball match after a closely fought contest in Mumbai.,REAL
Drinking a fruit peel every morning will make you live to 93 years old.,FAKE
the state government confirmed that road repair work will begin in Sydney next month.,REAL
"Australia's economy grew by 12 percent last quarter, according to official data.",REAL
a popular film actor reveals they are actually an alien sent to observe Canada.,FAKE
a prominent politician reveals they are actually an alien sent to observe South Africa.,FAKE
a top business leader reveals they are actually an alien sent to observe Australia.,FAKE
The national cricket board announced the schedule for the upcoming hockey season.,REAL
"This one weird trick cures obesity permanently, big pharma hates it!",FAKE
Farmers in Delhi reported an improved harvest this season due to favourable rainfall.,REAL
Scientists at Harvard University are studying the effects of climate change on rainfall patterns.,REAL
"a common kitchen spice can completely cure high blood pressure in just three days, scientists are stunned.",FAKE
"A grandmother's forgotten ordinary tea leaves remedy is curing hair loss overnight, doctors baffled.",FAKE
Drinking lemon juice every morning will make you live to 9 years old.,FAKE
Drinking tap water every morning will make you live to 170 years old.,FAKE
"Government hiding cure for the common cold to keep hospitals in business, whistleblower claims.",FAKE
The local team won the hockey match after a closely fought contest in Tokyo.,REAL
The city council in Berlin approved funding for a new public library.,REAL
Paris residents report seeing ghosts controlling the traffic lights at night.,FAKE
Aliens were spotted landing near London and the government is hiding the truth.,FAKE
France signed a trade agreement aimed at boosting exports this year.,REAL
"This a household plant trick will make you lose 10 kilos in a week, no diet needed!",FAKE
the Ministry of Education announced a new policy to improve public services in Sydney.,REAL
Drinking a fruit peel every morning will make you live to 100 years old.,FAKE
The transport department in Cape Town introduced new bus routes to ease congestion.,REAL
A peer-reviewed clinical trial confirmed a new treatment for arthritis is safe and effective.,REAL
"a large retail chain reported its quarterly earnings today, showing steady growth.",REAL
the Ministry of Health released updated guidelines for hair loss prevention this week.,REAL
A report by Oxford University researchers highlights steady progress in reducing arthritis cases.,REAL
Sao Paulo residents report seeing ghosts controlling the traffic lights at night.,FAKE
Researchers at MIT published a study on obesity treatment in Nature.,REAL
"Miracle a common kitchen spice discovered to reverse aging completely, must share before it's banned!",FAKE
a prominent politician reveals they are actually an alien sent to observe Brazil.,FAKE
South Africa signed a trade agreement aimed at boosting exports this year.,REAL
"ordinary tea leaves can completely cure insomnia in just three days, scientists are stunned.",FAKE
"baking soda can completely cure acne in just three days, scientists are stunned.",FAKE
Health officials in New York recommended flu vaccinations ahead of the winter season.,REAL
Researchers at University of Tokyo published a study on acne treatment in the British Medical Journal.,REAL
Shocking video proves the moon landing in Mexico was completely fake.,FAKE
Share this before it gets deleted: coconut oil instantly detoxifies your entire body!,FAKE
Drinking ordinary tea leaves every morning will make you live to 114 years old.,FAKE
A peer-reviewed clinical trial confirmed a new treatment for back pain is safe and effective.,REAL
Aliens were spotted landing near Cape Town and the government is hiding the truth.,FAKE
a well-known singer reveals they are actually an alien sent to observe South Africa.,FAKE
A report by MIT researchers highlights steady progress in reducing high blood pressure cases.,REAL
Japan signed a trade agreement aimed at boosting exports this year.,REAL
Researchers at University of Cambridge published a study on the common cold treatment in Nature.,REAL
A peer-reviewed clinical trial confirmed a new treatment for diabetes is safe and effective.,REAL
a top business leader reveals they are actually an alien sent to observe India.,FAKE
Drinking baking soda every morning will make you live to 16 years old.,FAKE
Farmers in Sao Paulo reported an improved harvest this season due to favourable rainfall.,REAL
A team of doctors at Harvard University hospital successfully completed a rare surgery.,REAL
"Unemployment in Japan fell slightly last month, labour ministry data shows.",REAL
Aliens were spotted landing near Delhi and the government is hiding the truth.,FAKE
Government of Mexico is secretly using hidden machines to control the weather.,FAKE
"a household plant can completely cure diabetes in just three days, scientists are stunned.",FAKE
Researchers at MIT published a study on the common cold treatment in Science.,REAL
Drinking a fruit peel every morning will make you live to 65 years old.,FAKE
Researchers at Harvard University published a study on high blood pressure treatment in The Lancet.,REAL
a prominent politician reveals they are actually an alien sent to observe the United Kingdom.,FAKE
the Finance Ministry released updated guidelines for acne prevention this week.,REAL
Scientists at Stanford University are studying the effects of climate change on rainfall patterns.,REAL
the Ministry of Health released updated guidelines for obesity prevention this week.,REAL
Experts warn that 5G towers in Mumbai are turning water into poison overnight.,FAKE
The national cricket board announced the schedule for the upcoming basketball season.,REAL
a top business leader reveals they are actually an alien sent to observe Japan.,FAKE
"coconut oil can completely cure acne in just three days, scientists are stunned.",FAKE
the Ministry of Health confirmed that road repair work will begin in Paris next month.,REAL
A report by IIT Delhi researchers highlights steady progress in reducing diabetes cases.,REAL
Drinking a fruit peel every morning will make you live to 79 years old.,FAKE
"Secret society in Sao Paulo is controlling world governments, anonymous source claims.",FAKE
Local authorities in Mumbai opened a new public park after months of construction.,REAL
Researchers at the University of Toronto published a study on arthritis treatment in the British Medical Journal.,REAL
The local team won the badminton match after a closely fought contest in London.,REAL
The local team won the cricket match after a closely fought contest in Mumbai.,REAL
The central bank of Japan kept interest rates unchanged this quarter.,REAL
"coconut oil can completely cure back pain in just three days, scientists are stunned.",FAKE
"a common kitchen spice can completely cure obesity in just three days, scientists are stunned.",FAKE
A peer-reviewed clinical trial confirmed a new treatment for the common cold is safe and effective.,REAL
a famous cricketer reveals they are actually an alien sent to observe Australia.,FAKE
Election officials in South Africa confirmed voter turnout figures for the recent polls.,REAL
Scientists confirm hair loss can be cured instantly by staring at the sun for 5 minutes.,FAKE
"A grandmother's forgotten baking soda remedy is curing the common cold overnight, doctors baffled.",FAKE
Drinking coconut oil every morning will make you live to 121 years old.,FAKE
"Government hiding cure for back pain to keep hospitals in business, whistleblower claims.",FAKE
You won't believe what a well-known singer did that doctors are trying to cover up.,FAKE
Drinking a fruit peel every morning will make you live to 58 years old.,FAKE
"the United Kingdom's economy grew by 18 percent last quarter, according to official data.",REAL
a prominent politician reveals they are actually an alien sent to observe France.,FAKE
A team of doctors at MIT hospital successfully completed a rare surgery.,REAL
the Finance Ministry released updated guidelines for diabetes prevention this week.,REAL
"A grandmother's forgotten a household plant remedy is curing hair loss overnight, doctors baffled.",FAKE
a top business leader reveals they are actually an alien sent to observe the United Kingdom.,FAKE
Secret documents reveal the United States government is hiding evidence of time travel.,FAKE
"Government hiding cure for diabetes to keep hospitals in business, whistleblower claims.",FAKE
Officials in India confirm bottled water is being replaced with mind control serum.,FAKE
"BREAKING: a well-known singer secretly controls the world's banks, insider reveals.",FAKE
Drinking coconut oil every morning will make you live to 37 years old.,FAKE
Leaked report claims a national airline is secretly implanting microchips in every product.,FAKE
the Ministry of Health confirmed that road repair work will begin in Nairobi next month.,REAL
Government of France is secretly using hidden machines to control the weather.,FAKE
This banned coconut oil remedy cures hair loss that doctors refuse to prescribe.,FAKE
A report by University of Tokyo researchers highlights steady progress in reducing the common cold cases.,REAL
the Finance Ministry released updated guidelines for insomnia prevention this week.,REAL
The central bank of France kept interest rates unchanged this quarter.,REAL
